2MASS,GaiaDR2,Name,RAJ2000,DEJ2000,pmRA,pmDE,plx,r-astro,rv,r_rv,Cluster,Member,J17,L18-t1,L18-t6,Dist,SimbadName
2MASS J04034930+2610520,Gaia DR2 162535413750345856,HBC358A+B+C,04 03 49.32,+26 10 52.0,,,,,,,0,0,1,0,0,,2MASS J04034930+2610520
2MASS J04034997+2620382,Gaia DR2 162541942104406784,XEST06-006,04 03 49.99,+26 20 38.4,14.212,-19.389,6.866,GaiaDR2,,,0,0,1,1,0,,2MASS J04034997+2620382
2MASS J04035084+2610531,Gaia DR2 162535345034688768,HBC359,04 03 50.83,+26 10 53.0,18.855,-29.927,7.781,GaiaDR2,14.200,4,0,0,1,0,0,,2MASS J04035084+2610531
2MASS J04043936+2158186,Gaia DR2 53092775104124288,HBC360,04 04 39.36,+21 58 18.5,3.399,-15.695,8.220,GaiaDR2,,,0,0,1,0,0,,2MASS J04043936+2158186
2MASS J04043984+2158215,Gaia DR2 53092775104123776,HBC361,04 04 39.84,+21 58 21.4,5.102,-15.118,8.183,GaiaDR2,16.200,4,0,0,1,0,0,,2MASS J04043984+2158215
2MASS J04044307+2618563,,IRAS04016+2610,04 04 43.08,+26 18 56.5,,,,,,,0,0,1,1,0,,2MASS J04044307+2618563
2MASS J04053087+2151106,Gaia DR2 53098994216894208,HBC362,04 05 30.89,+21 51 10.8,4.271,-14.224,7.969,GaiaDR2,14.800,4,0,0,1,0,0,,2MASS J04053087+2151106
2MASS J04053214+2733139,Gaia DR2 163511608280866816,,04 05 32.16,+27 33 13.5,11.426,-25.316,7.606,GaiaDR2,,,0,0,0,0,1,,2MASS J04053214+2733139
2MASS J04064263+2902014,Gaia DR2 164265220422661760,,04 06 42.65,+29 02 01.2,11.027,-17.797,6.004,GaiaDR2,,,0,0,0,0,1,,2MASS J04064263+2902014
2MASS J04064443+2540182,Gaia DR2 162259814291151616,,04 06 44.45,+25 40 18.0,14.009,-18.784,6.536,GaiaDR2,,,0,0,0,1,0,,2MASS J04064443+2540182
2MASS J04065134+2541282,Gaia DR2 162260226608005120,V1195Tau,04 06 51.37,+25 41 28.6,12.368,-18.119,6.415,GaiaDR2,16.010,15,0,0,0,1,0,,2MASS J04065134+2541282
2MASS J04065364+2540368,Gaia DR2 162259951730099968,,04 06 53.66,+25 40 36.6,14.318,-18.857,6.666,GaiaDR2,,,0,0,0,0,1,,2MASS J04065364+2540368
2MASS J04080782+2807280,Gaia DR2 163926914439144320,,04 08 07.82,+28 07 28.2,-0.118,-10.310,4.435,GaiaDR2,,,0,0,1,0,0,,2MASS J04080782+2807280
2MASS J04105425+2501266,,,04 10 54.25,+25 01 26.6,,,,,,,0,0,0,1,0,,2MASS J04105425+2501266
2MASS J04110081+2717163,,,04 11 00.81,+27 17 16.3,,,,,,,0,0,0,1,0,,2MASS J04110081+2717163
2MASS J04124068+2438157,Gaia DR2 150073682105601408,,04 12 40.71,+24 38 15.4,14.258,-18.838,6.869,GaiaDR2,,,0,0,0,1,0,,2MASS J04124068+2438157
2MASS J04131414+2819108,Gaia DR2 163246832135164544,LkCa1,04 13 14.14,+28 19 10.9,8.371,-24.403,7.791,GaiaDR2,9.570,15,7,1,1,1,0,*,2MASS J04131414+2819108
2MASS J04132722+2816247,Gaia DR2 163233981593016064,Anon1,04 13 27.24,+28 16 25.0,7.440,-23.835,7.367,GaiaDR2,21.910,17,7,1,1,1,0,*,2MASS J04132722+2816247
2MASS J04135328+2811233,Gaia DR2 163229544890946944,IRAS04108+2803A,04 13 53.28,+28 11 23.3,11.323,-22.677,6.936,GaiaDR2,15.320,17,0,0,1,1,0,,2MASS J04135328+2811233
2MASS J04135471+2811328,,IRAS04108+2803B,04 13 54.72,+28 11 33.0,,,,,,,0,0,1,1,0,,2MASS J04135471+2811328
2MASS J04135737+2918193,Gaia DR2 165563674934601856,IRAS04108+2910,04 13 57.38,+29 18 19.4,9.950,-22.890,8.129,GaiaDR2,,,0,0,1,1,0,,2MASS J04135737+2918193
2MASS J04141188+2811535,Gaia DR2 163182888662060928,,04 14 11.88,+28 11 53.5,9.077,-23.889,7.658,GaiaDR2,,,7,1,1,1,0,*,2MASS J04141188+2811535
,,IRAS04111+2800G,04 14 12.26,+28 08 37.7,,,,,,,0,0,1,1,0,,IRAS 04111+2800G
2MASS J04141291+2812124,Gaia DR2 163184366130809984,V773TauA+B,04 14 12.91,+28 12 12.6,10.253,-25.119,7.692,VLBI,16.000,11,7,1,1,1,0,*,2MASS J04141291+2812124
2MASS J04141358+2812492,Gaia DR2 163184366130809472,FMTau,04 14 13.58,+28 12 49.3,8.587,-24.416,7.609,GaiaDR2,,,7,1,1,1,0,*,2MASS J04141358+2812492
2MASS J04141458+2827580,Gaia DR2 164738521519622656,FNTau,04 14 14.59,+28 27 58.0,9.501,-23.569,7.650,GaiaDR2,15.410,17,7,1,1,1,0,*,2MASS J04141458+2827580
2MASS J04141700+2810578,Gaia DR2 163184091252903936,CWTau,04 14 16.99,+28 10 57.7,8.278,-24.159,7.580,GaiaDR2,13.600,15,7,1,1,1,0,*,2MASS J04141700+2810578
2MASS J04141760+2806096,Gaia DR2 163181342473839744,CIDA1,04 14 17.62,+28 06 09.7,8.339,-23.318,7.400,GaiaDR2,15.220,17,7,1,1,1,0,*,2MASS J04141760+2806096
2MASS J04142626+2806032,Gaia DR2 163181308112262400,MHO1,04 14 26.28,+28 06 02.9,5.540,-27.639,7.066,GaiaDR2,,,0,0,0,1,0,,2MASS J04142626+2806032
2MASS J04142639+2805597,Gaia DR2 163178353176600448,MHO2,04 14 26.40,+28 05 59.6,8.784,-25.726,7.570,GaiaDR2,,,7,1,1,1,0,*,2MASS J04142639+2805597
2MASS J04143054+2805147,Gaia DR2 163178387536338944,MHO3,04 14 30.55,+28 05 14.6,2.651,-24.114,4.158,GaiaDR2,17.260,17,0,0,1,1,0,,2MASS J04143054+2805147
2MASS J04143062+2807020,,,04 14 30.63,+28 07 02.1,,,,,,,0,0,0,1,0,,2MASS J04143062+2807020
2MASS J04144158+2809583,,,04 14 41.59,+28 09 58.3,,,,,,,0,0,0,1,0,,2MASS J04144158+2809583
2MASS J04144730+2646264,Gaia DR2 162757545164429696,FPTau,04 14 47.30,+26 46 26.4,9.480,-22.688,7.814,GaiaDR2,16.260,15,7,0,1,1,0,,2MASS J04144730+2646264
2MASS J04144739+2803055,Gaia DR2 163177116226018944,XEST20-066,04 14 47.40,+28 03 05.4,10.157,-26.128,7.801,GaiaDR2,12.590,17,7,1,1,1,0,*,2MASS J04144739+2803055
